ID,x,y,z
0.0,-160.655311996,-17.611592587513798,0.07
1.0,-160.655311996,-17.611592587513798,0.06
2.0,-160.655311996,-10.56695555250828,0.07
3.0,-160.655311996,-10.56695555250828,0.06
4.0,-160.655311996,-3.5223185175027596,0.07
5.0,-160.655311996,-3.5223185175027596,0.06
6.0,-160.655311996,3.5223185175027596,0.07
7.0,-160.655311996,3.5223185175027596,0.06
8.0,-160.655311996,10.56695555250828,0.07
9.0,-160.655311996,10.56695555250828,0.06
10.0,-160.655311996,17.611592587513798,0.07
11.0,-160.655311996,17.611592587513798,0.06
12.0,-156.588088907,-38.745503692530356,0.07
13.0,-156.588088907,-38.745503692530356,0.06
14.0,-156.588088907,-31.700866657524838,0.07
15.0,-156.588088907,-31.700866657524838,0.06
16.0,-158.621700452,-28.178548140022077,0.07
17.0,-158.621700452,-28.178548140022077,0.06
18.0,-156.588088907,-24.65622962251932,0.07
19.0,-156.588088907,-24.65622962251932,0.06
20.0,-158.621700452,-21.13391110501656,0.07
21.0,-158.621700452,-21.13391110501656,0.06
22.0,-156.588088907,-17.611592587513798,0.07
23.0,-156.588088907,-17.611592587513798,0.06
24.0,-158.621700452,-14.089274070011038,0.07
25.0,-158.621700452,-14.089274070011038,0.06
26.0,-156.588088907,-10.56695555250828,0.07
27.0,-156.588088907,-10.56695555250828,0.06
28.0,-158.621700452,-7.044637035005519,0.07
29.0,-158.621700452,-7.044637035005519,0.06
30.0,-156.588088907,-3.5223185175027596,0.07
31.0,-156.588088907,-3.5223185175027596,0.06
32.0,-158.621700452,0.0,0.07
33.0,-158.621700452,0.0,0.06
34.0,-156.588088907,3.5223185175027596,0.07
35.0,-156.588088907,3.5223185175027596,0.06
36.0,-158.621700452,7.044637035005519,0.07
37.0,-158.621700452,7.044637035005519,0.06
38.0,-156.588088907,10.56695555250828,0.07
39.0,-156.588088907,10.56695555250828,0.06
40.0,-158.621700452,14.089274070011038,0.07
41.0,-158.621700452,14.089274070011038,0.06
42.0,-156.588088907,17.611592587513798,0.07
43.0,-156.588088907,17.611592587513798,0.06
44.0,-158.621700452,21.13391110501656,0.07
45.0,-158.621700452,21.13391110501656,0.06
46.0,-156.588088907,24.65622962251932,0.07
47.0,-156.588088907,24.65622962251932,0.06
48.0,-158.621700452,28.178548140022077,0.07
49.0,-158.621700452,28.178548140022077,0.06
50.0,-156.588088907,31.700866657524838,0.07
51.0,-156.588088907,31.700866657524838,0.06
52.0,-156.588088907,38.745503692530356,0.07
53.0,-156.588088907,38.745503692530356,0.06
54.0,-152.520865819,-52.83477776254139,0.07
55.0,-152.520865819,-52.83477776254139,0.06
56.0,-152.520865819,-45.790140727535885,0.07
57.0,-152.520865819,-45.790140727535885,0.06
58.0,-154.55447736300002,-42.26782221003312,0.07
59.0,-154.55447736300002,-42.26782221003312,0.06
60.0,-152.520865819,-38.745503692530356,0.07
61.0,-152.520865819,-38.745503692530356,0.06
62.0,-154.55447736300002,-35.223185175027595,0.07
63.0,-154.55447736300002,-35.223185175027595,0.06
64.0,-152.520865819,-31.700866657524838,0.07
65.0,-152.520865819,-31.700866657524838,0.06
66.0,-154.55447736300002,-28.178548140022077,0.07
67.0,-154.55447736300002,-28.178548140022077,0.06
68.0,-152.520865819,-24.65622962251932,0.07
69.0,-152.520865819,-24.65622962251932,0.06
70.0,-154.55447736300002,-21.13391110501656,0.07
71.0,-154.55447736300002,-21.13391110501656,0.06
72.0,-152.520865819,-17.611592587513798,0.07
73.0,-152.520865819,-17.611592587513798,0.06
74.0,-154.55447736300002,-14.089274070011038,0.07
75.0,-154.55447736300002,-14.089274070011038,0.06
76.0,-152.520865819,-10.56695555250828,0.07
77.0,-152.520865819,-10.56695555250828,0.06
78.0,-154.55447736300002,-7.044637035005519,0.07
79.0,-154.55447736300002,-7.044637035005519,0.06
80.0,-152.520865819,-3.5223185175027596,0.07
81.0,-152.520865819,-3.5223185175027596,0.06
82.0,-154.55447736300002,0.0,0.07
83.0,-154.55447736300002,0.0,0.06
84.0,-152.520865819,3.5223185175027596,0.07
85.0,-152.520865819,3.5223185175027596,0.06
86.0,-154.55447736300002,7.044637035005519,0.07
87.0,-154.55447736300002,7.044637035005519,0.06
88.0,-152.520865819,10.56695555250828,0.07
89.0,-152.520865819,10.56695555250828,0.06
90.0,-154.55447736300002,14.089274070011038,0.07
91.0,-154.55447736300002,14.089274070011038,0.06
92.0,-152.520865819,17.611592587513798,0.07
93.0,-152.520865819,17.611592587513798,0.06
94.0,-154.55447736300002,21.13391110501656,0.07
95.0,-154.55447736300002,21.13391110501656,0.06
96.0,-152.520865819,24.65622962251932,0.07
97.0,-152.520865819,24.65622962251932,0.06
98.0,-154.55447736300002,28.178548140022077,0.07
99.0,-154.55447736300002,28.178548140022077,0.06
100.0,-152.520865819,31.700866657524838,0.07
101.0,-152.520865819,31.700866657524838,0.06
102.0,-154.55447736300002,35.223185175027595,0.07
103.0,-154.55447736300002,35.223185175027595,0.06
104.0,-152.520865819,38.745503692530356,0.07
105.0,-152.520865819,38.745503692530356,0.06
106.0,-154.55447736300002,42.26782221003312,0.07
107.0,-154.55447736300002,42.26782221003312,0.06
108.0,-152.520865819,45.790140727535885,0.07
109.0,-152.520865819,45.790140727535885,0.06
110.0,-152.520865819,52.83477776254139,0.07
111.0,-152.520865819,52.83477776254139,0.06
112.0,-148.45364272999998,-59.879414797546914,0.07
113.0,-148.45364272999998,-59.879414797546914,0.06
114.0,-150.487254275,-56.35709628004415,0.07
115.0,-150.487254275,-56.35709628004415,0.06
116.0,-148.45364272999998,-52.83477776254139,0.07
117.0,-148.45364272999998,-52.83477776254139,0.06
118.0,-150.487254275,-49.31245924503864,0.07
119.0,-150.487254275,-49.31245924503864,0.06
120.0,-148.45364272999998,-45.790140727535885,0.07
121.0,-148.45364272999998,-45.790140727535885,0.06
122.0,-150.487254275,-42.26782221003312,0.07
123.0,-150.487254275,-42.26782221003312,0.06
124.0,-148.45364272999998,-38.745503692530356,0.07
125.0,-148.45364272999998,-38.745503692530356,0.06
126.0,-150.487254275,-35.223185175027595,0.07
127.0,-150.487254275,-35.223185175027595,0.06
128.0,-148.45364272999998,-31.700866657524838,0.07
129.0,-148.45364272999998,-31.700866657524838,0.06
130.0,-150.487254275,-28.178548140022077,0.07
131.0,-150.487254275,-28.178548140022077,0.06
